Restaurant ID,Restaurant Name,City,User Rating Votes,User Aggregate Rating,Cuisines,Country
18649486,The Drunken Botanist,Gurgaon,4765,4.4,"Continental, Italian, North Indian, Chinese",India
308322,Hauz Khas Social,New Delhi,13627,4.6,"Continental, American, Asian, North Indian, Chinese, Pizza, Biryani, Beverages",India
18856789,AIR- An Ivory Region,New Delhi,1819,4.1,"North Indian, Chinese, Continental, Asian",India
307374,AMA Cafe,New Delhi,3252,4.4,"Cafe, Juices",India
18238278,Tamasha,New Delhi,8112,4.4,"Finger Food, North Indian, Continental, Italian",India
18268712,Chili's Grill & Bar,Noida,3702,4.6,"Mexican, American, Italian, Burger",India
18198449,Punjabi Angithi,New Delhi,3613,4.7,"North Indian, Chinese, Momos, Rolls, Fast Food",India
18382360,Local,New Delhi,5694,4.3,"North Indian, Continental, Momos",India
18273624,Cafeteria & Co.,New Delhi,4229,4.5,"Continental, Mexican, Fast Food",India
18466951,Jungle Jamboree,Noida,2832,4.5,"North Indian, Continental, Chinese, BBQ",India
306046,SodaBottleOpenerWala,Gurgaon,3818,4.2,"Parsi, North Indian, Maharashtrian, Beverages, Bakery",India
18337893,The Luggage Room Kitchen And Bar,New Delhi,1622,4.5,"Italian, Chinese, Continental",India
18518483,Echoes Hudson Lane,New Delhi,2534,4.6,"Cafe, American, Chinese, Continental, North Indian, Italian",India
18246991,Odeon Social,New Delhi,5808,4.4,"Continental, American, Asian, North Indian, Momos, Beverages",India
8913,Pirates of Grill,Gurgaon,5760,4.9,"North Indian, Mughlai, Continental",India
313256,The Junkyard Cafe,New Delhi,5512,4.5,"North Indian, Mediterranean, Asian, Salad, Momos",India
18562836,Diggin,New Delhi,2335,4.2,"Italian, Continental, Beverages",India
17953943,The Burger Club,New Delhi,2411,4.2,"Burger, Fast Food, Beverages",India
18258498,Chinese Kitchen,New Delhi,713,4.1,"Fast Food, Chinese, Momos",India
18537536,Chili's Grill & Bar,New Delhi,2364,4.6,"Mexican, American, Italian",India
18707652,Zam Zam,Kolkata,824,4.4,"Biryani, Mughlai",India
18571735,Dum Laga Ke Haishaa,Kolkata,770,4.5,"Continental, Biryani, North Indian, Chinese, Kebab",India
18398880,JW Kitchen - JW Marriott Hotel Kolkata,Kolkata,3578,4.6,"North Indian, European, Mediterranean, Thai, Salad, Juices",India
18677746,Burger in Law,Kolkata,455,4.7,"Burger, Fast Food",India
17983797,Dada Boudi Restaurant,Kolkata,1993,4.3,"Mughlai, North Indian, Chinese",India
18538536,Scrapyard,Kolkata,1260,4.2,"North Indian, Chinese, Continental",India
25570,Barbeque Nation,Kolkata,4597,4.8,"North Indian, Chinese, Kebab, BBQ",India
18354569,Tram Deepo,Kolkata,1895,4.4,"Continental, Chinese, Fast Food, Finger Food, North Indian, Mexican",India
18259462,Ocean Grill,Kolkata,2318,4.3,"Continental, Seafood, North Indian, Asian",India
18761167,Echoes Kolkata,Kolkata,456,4.8,"North Indian, Continental, Chinese, Italian, American",India
18751849,Five Mad Men,Kolkata,1465,4.3,"American, Chinese, Continental, North Indian",India
20747,India Restaurant,Kolkata,3909,4.5,"Biryani, Mughlai",India
18461760,Kankurgachi Dhaba,Kolkata,700,3.9,"North Indian, Biryani, Chinese",India
20404,Peter Cat,Kolkata,11476,4.2,"Continental, North Indian",India
18017615,What's Up,Kolkata,4162,4.4,"Chinese, Continental, Italian, Kebab",India
